"","GEOID","NAME","bare","bl_dc_cl","bl_dc_co","bl_eg_co","cons_bare","crop_irg","crop_rain","crop_veg_m","grassland","hb_tr_mx","herbaceous","lich_moss","nl_dc_co","nl_eg_cl","nl_eg_co","nl_eg_op","prm_snw_ic","shrb_hrb_f","shrub_dc","shrub_eg","shrubland","sprs_herb","sprs_shrub","sprs_veg_1","tr_fld_fr","tr_fld_slt","tr_hb_mx","tr_mx_lf","tree_shrub","urban","veg_crop_m","water_bdy"
"36","48057","Calhoun",0.32,0,0.03,0,0,0,2.54,0.03,16.37,0.03,11.21,0,2.81,0,0.06,0,0,11.19,0,0,0.83,0,0,0.1,0.84,0,0.01,0,0,0.6,0.35,52.68
"43","22019","Calcasieu",0.1,0,0.09,0,0,0,1.64,0.06,33.16,0.01,7.61,0,1.35,0,22.19,0,0,10.09,0,0,2.61,0,0,0.03,11.23,0,1.41,0.01,0,4.78,0.5,3.14
"49","22105","Tangipahoa",0.23,0,0.19,0,0,0,1.07,1.09,19.4,0.03,0.48,0,0.71,0,42.49,0,0,5.03,0,0,5.36,0,0,0.08,7.83,0,5.21,0.04,0,1.79,3.24,5.73
"53","13025","Brantley",0.01,0,0.25,0,0,0,0.94,0.05,7.32,0.04,0.7,0,0.11,0,75.88,0,0,0.04,0,0,2.58,0,0,0,7.79,0,1.67,0,0,0.06,2.54,0.01
"56","48361","Orange",0.03,0,0.26,0,0,0,1.65,0.11,23.68,0.08,0.18,0,5.61,0,22.09,0,0,8.11,0,0,0.22,0,0,0.09,15.17,0,5.27,0,0,6.18,0.95,10.33
"64","48177","Gonzales",0.02,0,6.85,0,0,0,4.44,4.65,53.55,0,0.99,0,0.85,0,0.02,0,0,0.01,0,0,6.23,0,0,0,1.01,0,0.13,0.93,0,0.17,20.11,0.04
"72","12053","Hernando",0.29,0,0.02,0,0,0,1.84,0.25,15.79,0,0.41,0,0.27,0,25.95,0,0,2.63,0,0,0.27,0,0,0.23,8.91,0,0.83,0,0,8.12,1.91,32.27
"73","12129","Wakulla",0.06,0,0,0,0,0,0.05,0.01,0.69,0,0.02,0,0.19,0,44.52,0,0,4.56,0,0,0.11,0,0,0,15.84,0,0.39,0,0,0.19,0.18,33.19
"74","12131","Walton",0.37,0,0.04,0,0,0,0.75,0.23,3.51,0.03,1.38,0,0.45,0,49.35,0,0,0.56,0,0,6.11,0,0,0.04,4.95,0,1.29,0,0,0.9,5.4,24.64
"79","12127","Volusia",0.11,0,0.03,0,0,0,0.83,0.06,5.77,0.01,0,0,0.28,0,43.98,0,0,3,0,0,0.11,0,0,0,9.62,0.7,0.56,0,0,11.87,0.29,22.79
"100","48391","Refugio",0.02,0,0.03,0,0,0,26.32,5.37,12.68,0,17.1,0,1.24,0,1.83,0,0,3.17,0,0,18.09,0,0,0,2.27,0,0.04,0,0,0.11,6.23,5.51
"123","48247","Jim Hogg",0.17,0,0,0,0,0,11.77,1.95,83.1,0,0.04,0,0,0,0.16,0,0,0,0,0,1.69,0,0,0,0.01,0,0,0,0,0.02,1.09,0
"147","13049","Charlton",0.08,0,0.02,0,0,0,0.22,0.02,3.37,0,0.07,0,0.65,0,52.17,0,0,0.48,0,0,1.66,0,0,0.02,40.11,0,0.61,0.01,0,0.09,0.41,0.01
"168","48041","Brazos",0.11,0,1.84,0,0,0,2.77,0.17,66.65,0,8.54,0,0.06,0,0.86,0,0,0.03,0,0,1.79,0,0,0,6.79,0,2.42,1.81,0,3.66,2.21,0.29
"196","12051","Hendry",0.05,0,0.01,0,0,0,2.81,0.13,31.58,0.06,35.81,0,4.16,0,4.21,0,0,0.48,0,0,0.73,0,0,0,13.78,0.04,0.56,0,0,0.54,3.14,1.9
"198","48245","Jefferson",0.22,0,0.32,0,0,0,0.93,0.07,28.64,0.03,11.55,0,0.82,0,2.05,0,0,24.2,0,0,0.08,0,0,0.11,3.72,0,0.77,0,0,9.43,0.11,16.94
"201","48027","Bell",0.18,0,0.34,0,0,0,6.16,6.63,41.11,0.03,14.41,0,0,0,15.53,0,0,0.01,0,0,0.95,0,0,0.04,0.46,0,0.32,0.02,0,6.28,4.55,2.99
"227","12095","Orange",0.26,0,0.33,0,0,0,3.13,0.36,18.05,0.2,1.82,0,3.8,0,12.65,0,0,1.83,0,0,0.85,0,0,0.04,15.74,0,1.9,0,0,27.99,1.92,9.13
"252","13075","Cook",0.07,0,0,0,0,0,1.12,2.26,1.81,0,29.82,0,0.27,0,24.36,0,0,0.24,0,0,0,0,0,0,4.73,0,0.05,0,0,0.5,34.58,0.19
"285","13279","Toombs",0.06,0,0.09,0,0,0,0.76,0.55,5.36,0.02,12.69,0,0.09,0,49.25,0,0,0.05,0,0,0.91,0,0,0,4.16,0,3.17,0,0,0.69,22.12,0.03
"297","48123","DeWitt",0.12,0,1.35,0,0,0,5.96,2.9,64.46,0,0.53,0,0.26,0,2.46,0,0,0,0,0,2.4,0,0,0.03,0.91,0,0.56,0,0,0.28,17.78,0
"298","48005","Angelina",0.08,0,0.31,0,0,0,0.4,0.04,20.32,0.05,0.09,0,0.07,0,56.1,0,0,0.97,0,0,2.16,0,0,0,9.37,0,1.87,0.03,0,1.59,0.21,6.33
"309","48309","McLennan",0.04,0,0.03,0,0,0,2.28,5.5,65.26,0.01,14.28,0,0,0,3.75,0,0,0.06,0,0,0.05,0,0,0.05,0.2,0,0.03,0.1,0,3.68,3.06,1.61
"367","12041","Gilchrist",0.05,0,0.02,0,0,0,3.03,0.23,35.53,0.02,6.6,0,1.06,0,36.59,0,0,0.07,0,0,3.08,0,0,0,3.54,0,2.6,0,0,0.21,7.15,0.22
"373","48289","Leon",0.79,0,1.49,0,0,0,0.49,0.21,61.93,0.13,0.37,0,0.06,0,1.87,0,0,0.02,0,0,1.37,0,0,0.1,3.75,0,3.38,21.9,0,0.18,1.58,0.39
"389","48311","McMullen",0.08,0,0.01,0,0,0,12.32,4.09,8.83,0,0,0,0.19,0,0,0,0,0.59,0,0,72.94,0,0,0,0.08,0,0.02,0,0,0.02,0.09,0.74
"402","12055","Highlands",0.04,0,0.09,0,0,0,2.26,0.21,44.27,0.03,13.38,0,2.27,0,0.2,0,0,0.36,0,0,13.07,0,0,0.07,10.29,0.01,1.58,0.01,0,3.66,1.87,6.35
"409","12017","Citrus",0.1,0,0,0,0,0,0.39,0.02,19.79,0,0.1,0,1.08,0,21.07,0,0,6.66,0,0,0.31,0,0,0.03,6.69,0,2.96,0,0,2.87,1.55,36.36
"439","48157","Fort Bend",0.1,0,0.09,0,0,0,3.63,0.16,47.41,0.01,20.92,0,0.12,0,0.25,0,0,0.07,0,0,0.04,0,0,0.07,9.75,0,0.29,0,0,15.9,0.52,0.68
"460","13183","Long",0.06,0,0.04,0,0,0,0.18,0.02,3.1,0.03,1.08,0,0.37,0,73.84,0,0,0.09,0,0,0.75,0,0,0,17.42,0,0.65,0,0,0.05,2.22,0.11
"479","01097","Mobile",0.21,0,0.05,0,0,0,0.52,0.15,15.14,0.02,1.4,0,0.41,0,37.66,0,0,2.1,0,0,1.1,0,0,0.06,5.08,0,5.35,0.02,0,5.4,0.5,24.83
"494","48149","Fayette",0.06,0,1.11,0,0,0,5,1.17,66.05,0,1.04,0,0.04,0,6.41,0,0,0,0,0,1.63,0,0,0,0.13,0,1.32,1.06,0,0.21,14.32,0.45
"546","48477","Washington",0,0,0.47,0,0,0,1.34,0.37,86.64,0.07,1.17,0,0.02,0,1.6,0,0,0.11,0,0,1.17,0,0,0,1.02,0,1.34,0.01,0,0.5,2.76,1.41
"582","12093","Okeechobee",0.02,0,0,0,0,0,1.95,0.5,52.99,0.25,4.68,0,2.94,0,0.21,0,0,0.43,0,0,11.64,0,0,0,7.7,0.06,1.36,0.01,0,1.32,1.97,11.97
"610","48225","Houston",0.02,0,0.27,0,0,0,0.35,0.12,47.24,0.11,1.77,0,0.03,0,44.87,0,0,0.03,0,0,0.53,0,0,0,2.06,0,1.59,0.18,0,0.21,0.41,0.21
"617","48029","Bexar",0.55,0,1.4,0,0,0,13.47,5.97,26.09,0.09,2.67,0,0.68,0,15.78,0,0,0.03,0,0,1.67,0,0,0.18,0.78,0,2.37,0.01,0,23.22,4.29,0.74
"623","22053","Jefferson Davis",0.1,0,0.05,0,0,0,0.51,0.02,9.34,0,68.45,0,0.31,0,7.06,0,0,2.39,0,0,0.52,0,0,0.01,7.47,0,0.26,0,0,1.06,1.82,0.62
"640","12109","St. Johns",0.25,0,0.04,0,0,0,1.68,0.07,1.25,0.02,2.55,0,0.26,0,45.4,0,0,2.76,0,0,0.31,0,0,0.01,6.17,0,0.87,0,0,11.51,0.19,26.66
"667","12027","DeSoto",0.02,0,0.01,0,0,0,3.76,0.11,63.21,0.11,4.43,0,1.5,0,1.08,0,0,0.26,0,0,7.81,0,0,0,10.74,0.02,1.28,0,0,0.95,4.64,0.09
"681","12043","Glades",0.1,0,0.16,0,0,0,0.86,0.2,30.57,0.09,9.35,0,2.77,0,0.96,0,0,6.16,0,0,22.42,0,0,0,10.88,0.08,2.04,0.01,0,0.37,4.04,8.94
"684","48099","Coryell",0.05,0,0.12,0,0,0,17.46,8.68,33.68,0.18,1.14,0,0,0,21.87,0,0,0,0,0,1.72,0,0,0.03,0.21,0,0.35,0.43,0,1.2,12.87,0.01
"704","48091","Comal",0.79,0,0.06,0,0,0,20.21,9.37,5.23,0.02,0.37,0,0.01,0,51.33,0,0,0,0,0,3.78,0,0,0.15,0.01,0,0.68,0.01,0,2.97,2.64,2.39
"707","48007","Aransas",1.57,0,0,0,0,0,1.96,0.44,11.59,0,0.82,0,5.42,0,3.86,0,0,13.86,0,0,7.85,0,0,0.07,0.03,0.1,0,0,0,0.84,0.54,51.02
"708","13019","Berrien",0.04,0,0.03,0,0,0,0.61,2.72,1.47,0,17.79,0,0.16,0,47.22,0,0,0.37,0,0,0.04,0,0,0,4.16,0,0.04,0,0,0.19,24.99,0.19
"714","12081","Manatee",1.19,0,0.07,0,0,0,8.56,0.63,24.48,0.18,6.02,0,1.19,0,2.41,0,0,0.2,0,0,2.13,0,0,0.13,9.52,0.62,1.84,0,0,13.69,3.9,23.26
"719","28109","Pearl River",0.09,0,0.2,0,0,0,0.74,0.88,20.35,0.15,0.18,0,0.89,0,58.8,0,0,0.02,0,0,5.46,0,0,0.01,5.83,0,5.1,0.01,0,0.4,0.66,0.21
"722","12013","Calhoun",0.03,0,0.02,0,0,0,0.91,0.3,4.87,0.03,2.57,0,0.16,0,70.09,0,0,0.1,0,0,3.99,0,0,0,10.84,0,0.84,0,0,0.08,4.84,0.33
"737","22055","Lafayette",0.06,0,0,0,0,0,2.96,0.92,33.08,0,30.19,0,0.04,0,0,0,0,0.17,0,0,0,0,0,0,4.61,0,0.06,0,0,26.45,1.44,0.02
"749","48407","San Jacinto",0,0,0.18,0,0,0,0.16,0.03,14.67,0.06,0.05,0,1.01,0,63.44,0,0,0.07,0,0,0.2,0,0,0.01,3.37,0,3.49,3.57,0,0.52,0.25,8.95
"766","13277","Tift",0,0,0,0,0,0,0.2,0.15,0.73,0,49.99,0,0.05,0,20.19,0,0,0,0,0,0.05,0,0,0,1.27,0,0.17,0,0,1.61,25.3,0.29
"781","22113","Vermilion",0,0,0.01,0,0,0,0.33,0.02,2.47,0,31.62,0,0.36,0,0.04,0,0,36.83,0,0,0.01,0,0,0,2.05,0,0.03,0,0,0.95,0.53,24.76
"785","22037","East Feliciana",0.39,0,0.17,0,0,0,2.42,0.26,20.8,0.1,0.47,0,0.53,0,62.05,0,0,0.02,0,0,4.08,0,0,0.12,1.22,0,3.93,1.67,0,0.46,1.28,0.05
"786","22087","St. Bernard",0.04,0,0,0,0,0,0.1,0.07,0.09,0,0,0,0.26,0,0.03,0,0,14.84,0,0,0,0,0,0,0.32,0,0.09,0,0,0.51,0.02,83.62
"787","48481","Wharton",0.01,0,0.01,0,0,0,2.69,0.24,37.63,0,49.27,0,0,0,4.78,0,0,0.1,0,0,0.04,0,0,0,3.99,0,0.03,0,0,0.4,0.52,0.3
"796","01053","Escambia",0.21,0,0.04,0,0,0,0.49,0.23,4.44,0.03,8.96,0,0.29,0,72.51,0,0,0.01,0,0,1.59,0,0,0.02,1.04,0,2.52,0.09,0,0.35,7.11,0.05
"845","48255","Karnes",0.07,0,0.32,0,0,0,5.2,10.09,60.19,0,1.79,0,0.29,0,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0.01,0,0.22,6,0.03
"858","48131","Duval",0.07,0,0,0,0,0,21.93,5.14,13.07,0,1.31,0,0.16,0,1.57,0,0,0,0,0,55.83,0,0,0.04,0,0,0.01,0,0,0.11,0.75,0
"860","48251","Johnson",0.22,0,0.62,0,0,0,3.18,0.42,82.32,0,4.65,0,0,0,3.92,0,0,0,0,0,0.04,0,0,0.05,0,0,0.05,0,0,3.68,0.38,0.48
"870","12069","Lake",0.13,0,0.14,0,0,0,1.2,0.13,29.44,0.06,3.1,0,1.79,0,23.26,0,0,0.83,0,0,0.33,0,0,0.03,17.48,0,1.13,0,0,8.51,0.88,11.56
"897","48473","Waller",0.09,0,0.02,0,0,0,2.31,0.3,77.64,0.04,4.29,0,0.01,0,9.11,0,0,0,0,0,0.3,0,0,0,3.47,0,0.47,0,0,1.08,0.68,0.22
"904","13037","Calhoun",0.01,0,0.56,0.06,0,0,0.09,0.9,0.93,0,32.38,0,0.29,0,37.69,0,0,0.09,0,0,0,0,0,0,10.31,0,0,0.01,0,0.03,16.48,0.18
"917","13099","Early",0.01,0,0.58,0.01,0,0,0.18,0.41,0.34,0,34.24,0,0.26,0,39.5,0,0,0.11,0,0,0,0,0,0,4.1,0,0.11,0.58,0,0.16,19.16,0.24
"925","48273","Kleberg",2.08,0,0,0,0,0,26.89,9.39,8.83,0,13.88,0,0.28,0,1.7,0,0,1.92,0,0,14.1,0,0,0.02,0,0,0,0,0,0.32,1.38,19.21
"930","12103","Pinellas",0.02,0,0.02,0,0,0,0.23,0.01,0.1,0,0,0,0.25,0,1.44,0,0,0.22,0,0,0.01,0,0,0,0.6,0.72,0.34,0,0,28.97,0.05,67.01
"980","48055","Caldwell",0,0,5.11,0,0,0,11.63,10.1,36.24,0,4.85,0,0.16,0,0.24,0,0,0,0,0,0.98,0,0,0,0.34,0,0.25,6.78,0,0.48,22.76,0.08
"996","22047","Iberville",0.01,0,0.2,0,0,0,0.78,0.29,5.63,0.08,17.63,0,1.23,0,0.03,0,0,0.12,0,0,0,0,0,0,68.39,0,0.66,0,0,1.93,0.15,2.87
"1001","12037","Franklin",0.43,0,0,0,0,0,0.02,0,0.06,0,0,0,2.37,0,6.33,0,0,2.95,0,0,0.1,0,0,0.11,25.34,0,0.04,0,0,0.48,0,61.75
"1014","12101","Pasco",0.05,0,0.07,0,0,0,3.09,0.48,18.73,0.07,0.12,0,1.19,0,27.17,0,0,0.78,0,0,0.2,0,0,0,6.27,0.22,1.09,0,0,12.42,2.8,25.25
"1015","12119","Sumter",0.19,0,0.02,0,0,0,2.34,0.13,33.14,0.13,1.32,0,0.31,0,29.35,0,0,0.4,0,0,0.14,0,0,0.03,20.32,0,1.74,0,0,5.31,3.85,1.28
"1068","22099","St. Martin",0.09,0,0.01,0,0,0,0.42,0.16,5.01,0.01,17.45,0,1.39,0,0.03,0,0,1.57,0,0,0.02,0,0,0.03,65.4,0.02,0.11,0.01,0,1.94,0.93,5.41
"1071","12117","Seminole",0,0,0.22,0,0,0,1.53,0.32,10.81,0.17,0.02,0,0.75,0,19.85,0,0,2.33,0,0,0.02,0,0,0,15.4,0,2.45,0,0,33.86,0.71,11.55
"1106","22039","Evangeline",0,0,0.09,0,0,0,0.53,0.02,12.01,0,35.38,0,0.56,0,33.81,0,0,0.16,0,0,2.25,0,0,0,11.22,0,0.52,0.55,0,0.82,1.79,0.3
"1129","28131","Stone",0.2,0,0.07,0,0,0,0.36,0.75,10.19,0.01,0.58,0,0.38,0,80.03,0,0,0.11,0,0,2.77,0,0,0.04,0.84,0,2.39,0,0,0.24,0.78,0.28
"1155","48209","Hays",0.18,0,0.12,0,0,0,17.34,9.1,9.32,0,1.39,0,0,0,47.91,0,0,0,0,0,5.41,0,0,0.08,0,0,0.84,0.11,0,2.76,5.37,0.06
"1158","45013","Beaufort",0.08,0,0.06,0,0,0,0.31,0.05,1.89,0,0.34,0,0.13,0,24.42,0,0,21.8,0,0,0.08,0,0,0,3.09,0,1.04,0.01,0,3.53,0.31,42.86
"1174","12007","Bradford",0.29,0,0.1,0,0,0,0.82,0.4,16.75,0.01,0.11,0,0.22,0,67.98,0,0,0.3,0,0,1.46,0,0,0.04,4.51,0,2.41,0,0,0.86,1.66,2.1
"1176","28039","George",0,0,0.02,0,0,0,0.56,0.97,14.09,0.05,2.67,0,0.41,0,62.16,0,0,0.01,0,0,1.54,0,0,0,10.06,0,4.27,0.09,0,0.17,2.24,0.7
"1195","48469","Victoria",0.15,0,0.03,0,0,0,11.16,1.16,50.22,0.03,14.09,0,0.77,0,4.97,0,0,1.32,0,0,0.23,0,0,0.03,8.62,0,0.09,0,0,1.54,4.8,0.82
"1226","48457","Tyler",0.03,0,0.22,0,0,0,0.09,0.02,8.91,0.01,0.12,0,0.3,0,75.01,0,0,0.2,0,0,2.66,0,0,0,5.92,0,5.17,0.04,0,0.13,0.5,0.63
"1231","13003","Atkinson",0,0,0.02,0,0,0,0.4,1.86,4.17,0,7.29,0,1.08,0,65.42,0,0,0.87,0,0,0.38,0,0,0,4.45,0,0.3,0,0,0.07,13.48,0.2
"1232","12031","Duval",0.39,0,0.09,0,0,0,0.96,0.09,2.27,0.09,0.09,0,0.02,0,33.84,0,0,4.76,0,0,0.36,0,0,0.16,2.87,0,3.08,0,0,32.74,0.39,17.8
"1233","48145","Falls",0.06,0,1.68,0,0,0,1.23,4.43,57.71,0.02,28.63,0,0.01,0,0.01,0,0,0,0,0,0.03,0,0,0,0.32,0,0.03,0.37,0,0.27,5.1,0.11
"1247","01003","Baldwin",0.27,0,0.04,0,0,0,0.38,0.47,4.98,0.01,8.94,0,0.43,0,42.93,0,0,1.46,0,0,0.6,0,0,0.04,9.4,0,1.29,0.01,0,2.16,5.66,20.94
"1269","12085","Martin",0.06,0,0.1,0,0,0,2.58,0.21,25.46,0.07,15.79,0,9.09,0,1.5,0,0,0.61,0,0,0.09,0,0,0,5.38,0.45,0.58,0,0,10.76,0.17,27.11
"1279","12029","Dixie",0.14,0,0.01,0,0,0,0.25,0.02,3.01,0,0.6,0,0.77,0,43.41,0,0,3.82,0,0,0.51,0,0,0,14.12,0,0.67,0,0,0.34,0.55,31.78
"1283","22097","St. Landry",0,0,0.04,0,0,0,0.57,0.12,18.31,0.03,40.31,0,0.25,0,0.19,0,0,0.05,0,0,0.08,0,0,0.01,30.35,0,0.39,0,0,2.04,6.44,0.83
"1311","48471","Walker",0,0,0.15,0,0,0,0.51,0.02,33.88,0,0.41,0,0.09,0,58.56,0,0,0.38,0,0,0.11,0,0,0,1.65,0,1.6,0.05,0,1.36,0.31,0.93
"1318","48167","Galveston",0.82,0,0.03,0,0,0,2.29,0.12,17.26,0.14,0.39,0,0.06,0,0.01,0,0,8.37,0,0,0.1,0,0,0.03,0.11,0,0.18,0,0,11.26,0.07,58.75
"1323","48201","Harris",0.26,0,0.57,0,0,0,4.03,0.23,21.48,0.19,0.69,0,0.65,0,6.24,0,0,0.54,0,0,0.08,0,0,0.06,2.2,0,1.42,0.45,0,57.68,0.34,2.91
"1332","13039","Camden",0.49,0,0.01,0,0,0,0.26,0.01,0.79,0.01,0.05,0,0.14,0,52.48,0,0,7.86,0,0,0.11,0,0,0.01,7.92,0,0.42,0,0,2.18,0.07,27.19
"1348","48187","Guadalupe",0.09,0,11.78,0,0,0,12.21,16.4,35.56,0.01,7.04,0,0.04,0,0.27,0,0,0,0,0,0.77,0,0,0.01,0.26,0,0.05,0,0,2.21,13.13,0.15
"1360","12033","Escambia",0.61,0,0.01,0,0,0,0.56,0.05,5.03,0.05,4.78,0,0.34,0,28.27,0,0,0.42,0,0,1.75,0,0,0.09,3.1,0,2,0,0,7.52,4.32,41.09
"1361","48439","Tarrant",0.04,0,1.25,0,0,0,8.89,1.08,31.73,0.04,0.54,0,0.06,0,0,0,0,0.06,0,0,0.11,0,0,0.05,0.01,0,0.4,0,0,50.93,0.56,4.24
"1364","48239","Jackson",0.01,0,0.14,0,0,0,6.44,0.14,41.94,0,29.82,0,0.04,0,13.41,0,0,1.77,0,0,0.17,0,0,0,0.2,0,0.05,0,0,0.15,2.38,3.35
"1383","22077","Pointe Coupee",0.1,0,0.05,0,0,0,0.96,0.17,14.78,0.09,38.39,0,0.57,0,0.2,0,0,0.19,0,0,0.1,0,0,0,34.15,0,1.67,0,0,1.13,2.02,5.45
"1387","13095","Dougherty",0,0,0.31,0,0,0,0.88,0.26,7.57,0,7.32,0,0.38,0,54.3,0,0,0.16,0,0,0.1,0,0,0,14.44,0,1.46,0.01,0,3.8,8.48,0.52
"1465","22093","St. James",0.29,0,0.09,0,0,0,0.91,0.01,0.18,0.04,32.91,0,0.64,0,0.03,0,0,0.03,0,0,0,0,0,0.05,55.09,0,0.42,0,0,4.09,0.72,4.52
"1504","48089","Colorado",0.21,0,5.66,0,0,0,2.8,0.34,56.4,0,12.67,0,0,0,17.33,0,0,0.03,0,0,0.27,0,0,0.5,0.19,0,0.62,0,0,0.19,2.46,0.34
"1507","13109","Evans",0.12,0,0.13,0,0,0,0.62,0,2.02,0,15.22,0,0.13,0,55.62,0,0,0.03,0,0,0.32,0,0,0,2.95,0,2.5,0,0,0.52,19.76,0.05
"1533","22075","Plaquemines",0.03,0,0,0,0,0,0.19,0.05,0.35,0.01,0.45,0,0.78,0,0.02,0,0,17.98,0,0,0.2,0,0,0,0.95,0,0.01,0.02,0,0.46,0.01,78.47
"1559","22079","Rapides",0.2,0,0.29,0,0,0,0.65,0.05,7.82,0.01,13.79,0,0.53,0,57.41,0,0,0.3,0,0,2.15,0,0,0.02,9.76,0,1.51,0.02,0,2.18,1.43,1.88
"1573","22009","Avoyelles",0,0,0.1,0,0,0,0.29,0.04,7.88,0,45.05,0,0.66,0,3.04,0,0,0.17,0,0,0.13,0,0,0,33.82,0,0.48,0,0,0.76,6.16,1.4
"1587","13321","Worth",0,0,0.15,0.01,0,0,0.12,0.08,0.6,0,39.14,0,0.13,0,38.89,0,0,0.02,0,0,0,0,0,0,0.38,0,0.1,0,0,0.11,20.15,0.11
"1589","48139","Ellis",0.07,0,2.01,0,0,0,2.12,1.1,67.99,0,20.36,0,0,0,0.19,0,0,0.03,0,0,0.09,0,0,0.02,0.26,0,0.01,0,0,3.29,1.61,0.86
"1590","13229","Pierce",0,0,0.06,0,0,0,0.6,1.57,4.25,0,14.27,0,0.06,0,49.8,0,0,0.02,0,0,0.69,0,0,0.02,6.02,0,1.61,0,0,0.2,20.84,0
"1593","12035","Flagler",0.07,0,0.04,0,0,0,1.99,0.08,5.75,0,0.26,0,0.07,0,60.64,0,0,1.4,0,0,0.58,0,0,0.08,6.4,0,0.86,0.01,0,7.33,0.07,14.36
"1643","48491","Williamson",0.68,0,0.71,0,0,0,9.16,11.25,31.67,0.01,19.45,0,0,0,11.02,0,0,0,0,0,1.42,0,0,0.1,0.53,0,0.32,0.26,0,6.72,5.89,0.81
"1663","12071","Lee",0.17,0,0.08,0,0,0,3.96,0.72,9.95,0.06,1.25,0,6.62,0,0.16,0,0,0.76,0,0,1.07,0,0,0.05,4.28,3.47,0.75,0,0,18.46,0.86,47.34
"1671","13071","Colquitt",0,0,0.01,0,0,0,0.24,0.73,0.76,0,38.04,0,0.01,0,29.94,0,0,0,0,0,0.03,0,0,0,1.43,0,0.05,0,0,0.43,28.3,0.04
"1707","12005","Bay",0.56,0,0.01,0,0,0,0.57,0.13,2.15,0,0.02,0,0.82,0,29.96,0,0,1.73,0,0,2.3,0,0,0.11,8.28,0,1.47,0,0,3.45,0.58,47.87
"1715","13305","Wayne",0.1,0,0.07,0,0,0,0.25,0.34,3.12,0.02,6.4,0,0.24,0,69.63,0,0,0,0,0,0.63,0,0,0.01,9.14,0,1.31,0,0,0.35,8.24,0.13
"1743","48185","Grimes",0.1,0,0.11,0,0,0,0.54,0.07,74.6,0.01,1.04,0,0.01,0,16.15,0,0,0.01,0,0,0.63,0,0,0,3.07,0,1.4,0.57,0,0.2,0.8,0.68
"1745","22007","Assumption",0.02,0,0.12,0,0,0,0.11,0.07,0.07,0,31.36,0,1.76,0,0.01,0,0,0.16,0,0,0,0,0,0.01,57.23,0,0.23,0,0,1.51,0.43,6.92
"1780","12107","Putnam",0.21,0,0.04,0,0,0,1.26,0.05,9.26,0.02,0.73,0,0.42,0,57.43,0,0,0.44,0,0,1.6,0,0,0.12,10.52,0,1.74,0,0,3.29,2.39,10.5
"1795","13101","Echols",0.05,0,0.01,0,0,0,0.23,0.02,2.19,0,1.3,0,0.08,0,85.22,0,0,0.03,0,0,0.21,0,0,0.02,9.24,0,0.15,0,0,0.02,1.25,0
"1799","12065","Jefferson",0.11,0,0.07,0,0,0,0.42,0.59,3.31,0,0.92,0,0.51,0,64.18,0,0,2.33,0,0,0.31,0,0,0,14.14,0,0.45,0,0,0.04,3.65,8.97
"1809","13179","Liberty",0.5,0,0.02,0,0,0,0.36,0.01,3.82,0,0.31,0,0.06,0,55.12,0,0,2.72,0,0,0.01,0,0,0,11.9,0,0.43,0.01,0,1.03,0.21,23.49
"1810","48349","Navarro",0.01,0,5.19,0,0,0,0.75,0.19,75.97,0.02,8.87,0,0,0,0.73,0,0,0.32,0,0,0.04,0,0,0,0.49,0,0.13,0,0,0.44,0.52,6.32
